codigo_ibge,longitude,latitude,area_km2,altitude_media_m,altitude_minima_m,amplitude_altitude_m,declividade_m_por_km,celulas_de_relevo,distancia_rio_km,distancia_rio_grande_km
3171105,-48.3394383485948,-19.60243057095677,1019.2784836087376,738.0687866210938,593.0,288.0,13.735527597011759,218,47.118561460286415,133.52306537544095
3171154,-42.255083954392624,-20.038005700634415,107.85452666413039,671.0,568.0,288.0,24.531326357625044,24,35.25779823334226,312.9979958193674
3171204,-43.94463487322515,-19.732131712207416,73.61636801436543,794.4000244140625,720.0,129.0,18.560493499078422,15,6.510913152163954,136.83416679246022
3171303,-42.88616243369367,-20.74006492273238,287.37327771354467,716.7777709960938,630.0,190.0,14.99967962532316,63,19.815975894197432,288.4860116141729
3171402,-42.280789183570796,-20.911547414186092,110.94912578351796,595.1304321289062,366.0,449.0,47.5883645104856,23,81.08660304197868,351.50830349031327
3171501,-41.92570980868237,-18.609773014129743,166.38887161761522,261.27777099609375,195.0,217.0,13.515606914296043,36,22.53265714456705,335.585097730672
3171600,-42.34086867157914,-16.713946965838975,880.8475219439715,543.3114624023438,320.0,463.0,34.239207091597656,183,8.401171415384564,245.17067020275127
3171709,-45.11026575187586,-22.341737947661336,334.42008885741234,1242.5205078125,905.0,814.0,60.38889966996733,73,29.550871151698964,239.81411033732135
3171808,-42.67173074885416,-18.79008345047286,431.1808586316183,822.752685546875,665.0,271.0,17.282456410608894,93,61.09048358366431,254.62158587636537
3171907,-42.31720343867902,-18.4496681663799,273.76703011989594,476.4210510253906,289.0,479.0,38.19585222862091,57,57.15961733214002,293.3678198159501
3172004,-42.83952798414883,-21.01030660283495,245.96664222329855,416.963623046875,336.0,511.0,20.159586384960438,55,39.0282977560848,304.1789704766322
3172103,-42.5566844298059,-21.757889947352393,210.04351033177227,291.978271484375,191.0,255.0,21.872201350633752,46,7.975398596774014,367.5883029753661
3172202,-45.40209978914614,-22.555011354036363,99.63083226140589,1168.434814453125,915.0,724.0,86.72252499411557,23,33.5557766926732,252.29645171271554
3200102,-41.124798982738426,-20.08938746687799,949.9690026175231,657.9310302734375,302.0,882.0,55.533423611429455,203,66.95459965187057,427.61288969513953
3200136,-40.74761680336069,-18.97076396770603,469.5330238752067,289.9514465332031,133.0,558.0,34.981728678762956,103,57.768430752481756,455.1625034159843
3200169,-40.99651180335863,-18.517748171705332,464.4820376066491,450.6019287109375,185.0,561.0,33.5381536365195,103,79.25631010955263,430.5573609725477
3200201,-41.51429153980525,-20.7196823262677,756.1622602241114,502.6708068847656,126.0,994.0,54.115237588581444,161,97.38085676123242,411.43412238338965
3200300,-40.82567626662378,-20.563175558336052,619.7207026109099,680.1555786132812,49.0,1172.0,45.261513895887795,135,115.23804089088446,471.8158200388148
3200359,-40.98608003776823,-19.02175333089132,220.09239560272545,618.1458129882812,264.0,571.0,37.761389878542985,48,40.86607826897965,429.8290416349633
3200409,-40.684459239848536,-20.718551146944417,396.0854213591665,73.6941146850586,0.0,590.0,24.192455588369157,85,104.61423784699903,491.0852471099552
3200508,-41.55283785205862,-21.072312087882175,181.72799643222243,412.1000061035156,85.0,817.0,57.27908795727528,40,58.189824157457075,425.10826040381704
3200607,-40.17550434134414,-19.767189715787612,1409.2357821445912,40.62925338745117,0.0,420.0,7.4194567761931935,294,32.84685104047674,518.5287632027882
3200706,-41.18468496957988,-20.963354427513064,221.6888468908146,221.63829040527344,28.0,767.0,55.21888370634737,47,73.64266959949546,453.43391497698127
3200805,-40.98292723432835,-19.57290983710937,895.3142980020493,335.6428527832031,67.0,817.0,51.82630544731062,196,8.624644651282454,432.28873947146144
3200904,-40.830987586606035,-18.66474582680997,961.1411710139364,283.6698913574219,140.0,512.0,25.237050590937283,206,81.187818652844,449.2981892205416
3201001,-40.33050034951727,-18.48567345719751,436.9672048166394,135.6989288330078,42.0,197.0,9.039680213108742,93,106.02222175676583,495.6279242707447
3201100,-41.63167041408258,-21.084179213611886,90.93566811457276,325.1000061035156,102.0,523.0,47.08718635965208,20,56.825556080539485,418.6791943206383
3201159,-41.297623370637425,-20.1275711384171,369.86323560774326,906.0609741210938,654.0,584.0,37.12987413238181,82,75.75835321054925,411.3016925554196
3201209,-41.189959379717756,-20.76615566099059,883.9300289843231,199.0157012939453,19.0,968.0,39.8282670832568,191,95.11027823880703,444.20852235730075
3201308,-40.44182436671178,-20.28875335014881,281.86477259360254,219.27420043945312,0.0,760.0,37.38022640664778,62,83.55449284331078,501.7120178804295
